LEANM,SEARCH PARAMS,URL,WGET INDEX,ADDRESS,SCHOOL ID,RDM #,WAYBACK URL,LEVEL,SURVYEAR,NCESSCH,FIPST,LEAID,SCHNO,STID,SEASCH,LEANM,SCHNAM,PHONE,MSTREE,MCITY,MSTATE,MZIP,MZIP4,LSTREE,LCITY,LSTATE,LZIP,LZIP4,TYPE,STATUS,UNION,ULOCAL,LATCOD,LONCOD,CONUM,CONAME,CDCODE,BIES,RECONSTY,RECONSTF,SMEMPUP,ISMEMPUP,SFTEPUP,ISFTEPUP,SFLE,ISFLE,SPFEMALE,ISPFEMALE,SPWHITE,ISPWHITE,SPELM,ISPELM,FTE,GSLO,GSHI,PKOFFRD,KGOFFRD,G01OFFRD,G02OFFRD,G03OFFRD,G04OFFRD,G05OFFRD,G06OFFRD,G07OFFRD,G08OFFRD,G09OFFRD,G10OFFRD,G11OFFRD,G12OFFRD,UGOFFRD,LEVEL,TITLEISTAT,TITLEI,STITLI,MAGNET,CHARTR,SHARED,FRELCH,REDLCH,TOTFRL,PK,AMPKM,AMPKF,ASPKM,ASPKF,HIPKM,HIPKF,BLPKM,BLPKF,WHPKM,WHPKF,HPPKM,HPPKF,TRPKM,TRPKF,KG,AMKGM,AMKGF,ASKGM,ASKGF,HIKGM,HIKGF,BLKGM,BLKGF,WHKGM,WHKGF,HPKGM,HPKGF,TRKGM,TRKGF,G01,AM01M,AM01F,AS01M,AS01F,HI01M,HI01F,BL01M,BL01F,WH01M,WH01F,HP01M,HP01F,TR01M,TR01F,G02,AM02M,AM02F,AS02M,AS02F,HI02M,HI02F,BL02M,BL02F,WH02M,WH02F,HP02M,HP02F,TR02M,TR02F,G03,AM03M,AM03F,AS03M,AS03F,HI03M,HI03F,BL03M,BL03F,WH03M,WH03F,HP03M,HP03F,TR03M,TR03F,G04,AM04M,AM04F,AS04M,AS04F,HI04M,HI04F,BL04M,BL04F,WH04M,WH04F,HP04M,HP04F,TR04M,TR04F,G05,AM05M,AM05F,AS05M,AS05F,HI05M,HI05F,BL05M,BL05F,WH05M,WH05F,HP05M,HP05F,TR05M,TR05F,G06,AM06M,AM06F,AS06M,AS06F,HI06M,HI06F,BL06M,BL06F,WH06M,WH06F,HP06M,HP06F,TR06M,TR06F,G07,AM07M,AM07F,AS07M,AS07F,HI07M,HI07F,BL07M,BL07F,WH07M,WH07F,HP07M,HP07F,TR07M,TR07F,G08,AM08M,AM08F,AS08M,AS08F,HI08M,HI08F,BL08M,BL08F,WH08M,WH08F,HP08M,HP08F,TR08M,TR08F,G09,AM09M,AM09F,AS09M,AS09F,HI09M,HI09F,BL09M,BL09F,WH09M,WH09F,HP09M,HP09F,TR09M,TR09F,G10,AM10M,AM10F,AS10M,AS10F,HI10M,HI10F,BL10M,BL10F,WH10M,WH10F,HP10M,HP10F,TR10M,TR10F,G11,AM11M,AM11F,AS11M,AS11F,HI11M,HI11F,BL11M,BL11F,WH11M,WH11F,HP11M,HP11F,TR11M,TR11F,G12,AM12M,AM12F,AS12M,AS12F,HI12M,HI12F,BL12M,BL12F,WH12M,WH12F,HP12M,HP12F,TR12M,TR12F,UG,AMUGM,AMUGF,ASUGM,ASUGF,HIUGM,HIUGF,BLUGM,BLUGF,WHUGM,WHUGF,HPUGM,HPUGF,TRUGM,TRUGF,MEMBER,AM,AMALM,AMALF,ASIAN,ASALM,ASALF,HISP,HIALM,HIALF,BLACK,BLALM,BLALF,WHITE,WHALM,WHALF,PACIFIC,HPALM,HPALF,TR,TRALM,TRALF,TOTETH,VIRTUALSTAT,NSLPSTATUS,CHARTAUTH1,CHARTAUTH2
PENNSYLVANIA LEADERSHIP CHARTER SCHOOL,"PENNSYLVANIA LEADERSHIP CS 1332 ENTERPRISE DR, WEST CHESTER, PA",http://www.palcs.org/,93,"1332 ENTERPRISE DR, WEST CHESTER, PA",PA7819,0.745258579,https://web.archive.org/web/*/http://www.palcs.org/,4,2013,4.20E+11,42,4200127,837,124150004,7819,PENNSYLVANIA LEADERSHIP CHARTER SCHOOL,PENNSYLVANIA LEADERSHIP CS,6107013333,1332 ENTERPRISE DR,WEST CHESTER,PA,19380,0,1332 ENTERPRISE DR,WEST CHESTER,PA,19380,0,1,1,0,21,39.9878,-75.5558,42029,CHESTER COUNTY,4206,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,142.97,PK,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,5,1,1,2,1,2,822,427,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,1,4,3,13,17,20,20,1,0,2,0,99,0,0,0,2,5,3,13,19,27,25,0,0,3,2,85,0,0,1,2,3,2,11,10,26,28,0,0,0,2,88,0,0,0,0,3,6,11,14,28,21,1,1,2,1,109,0,0,1,1,2,1,12,13,45,32,0,0,1,1,122,0,0,1,2,1,3,11,12,52,33,1,0,2,4,180,1,0,3,2,6,3,14,16,72,59,0,0,2,2,189,1,0,2,3,8,7,15,11,65,73,0,0,1,3,256,1,1,5,2,11,9,12,9,90,109,0,1,2,4,318,1,0,3,3,7,19,28,23,105,120,0,0,4,5,315,0,0,0,5,6,8,20,35,113,117,0,0,6,5,318,0,0,2,4,9,13,17,18,105,142,0,1,2,5,268,0,0,1,0,8,12,17,18,89,118,0,0,1,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2428,5,4,1,46,19,27,162,73,89,409,194,215,1734,837,897,6,3,3,66,28,38,2428,VIRTUALYES,NSLPNO,999999999,M
NEW YORK CITY MONTESSORI CHARTER SCHOOL,"NEW YORK CITY MONTESSORI CHARTER SCHOOL 423 EAST 138TH ST, BRONX, NY",http://www.nycmcs.org/,94,"423 EAST 138TH ST, BRONX, NY",NY320700861005,0.15066029,https://web.archive.org/web/*/http://www.nycmcs.org/,1,2013,3.60E+11,36,3601044,6248,3.21E+11,3.21E+11,NEW YORK CITY MONTESSORI CHARTER SCHOOL,NEW YORK CITY MONTESSORI CHARTER SCHOOL,3472269094,423 E 138TH ST,BRONX,NY,10454,0,423 EAST 138TH ST,BRONX,NY,10454,0,1,1,0,11,40.8088,-73.922,36005,BRONX COUNTY,3615,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,9.6,KG,3,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,3,1,1,2,1,2,171,7,178,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,52,0,1,0,0,17,17,14,2,0,1,0,0,0,0,52,0,0,1,0,16,17,8,8,0,1,0,0,1,0,52,0,0,1,0,11,9,13,10,0,0,0,0,4,4,48,0,0,0,1,18,13,8,8,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,204,1,0,1,3,2,1,118,62,56,71,43,28,2,0,2,0,0,0,9,5,4,204,VIRTUALNO,NSLPWOPRO,1,M
NORTH STAR ACADEMY,"NORTH STAR ACADEMY 3030 WRIGHT ST, MARQUETTE, MI",http://www.nsacd.com/,95,"3030 WRIGHT ST, MARQUETTE, MI",MI8476,0.996311005,https://web.archive.org/web/*/http://www.nsacd.com/,4,2013,2.60E+11,26,2600153,934,52901,8476,NORTH STAR ACADEMY,NORTH STAR ACADEMY,9062260156,3030 WRIGHT ST,MARQUETTE,MI,49855,9649,3030 WRIGHT ST,MARQUETTE,MI,49855,9649,1,1,0,41,46.5573,-87.4527,26103,MARQUETTE COUNTY,2601,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,22.02,KG,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,2,1,2,153,11,164,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,16,0,0,0,0,2,0,0,0,9,3,0,0,1,1,19,1,0,0,0,0,0,0,0,10,7,0,0,1,0,21,0,0,0,0,1,0,0,0,11,5,0,0,2,2,20,1,0,0,0,0,0,0,0,10,8,0,0,0,1,17,0,0,0,0,0,0,0,0,8,8,0,0,1,0,19,0,0,0,0,0,0,1,1,7,9,0,0,0,1,19,0,0,0,0,1,0,0,0,13,4,0,0,1,0,22,1,2,0,0,1,0,0,0,13,5,0,0,0,0,28,1,1,0,0,0,0,0,0,13,9,0,0,3,1,23,1,1,0,0,0,1,0,0,9,8,0,0,3,0,22,1,0,0,0,0,0,0,0,9,9,0,0,1,2,25,1,1,0,0,0,1,0,0,10,12,0,0,0,0,21,0,2,0,0,0,0,0,0,13,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,14,7,7,0,0,0,7,5,2,2,1,1,227,135,92,0,0,0,22,13,9,272,VIRTUALNO,NSLPWOPRO,2301,M
NORTHWOOD ACADEMY CS,"NORTHWOOD ACADEMY CS 4621 CASTOR AVE, PHILADELPHIA, PA",http://www.northwoodcs.org/,96,"4621 CASTOR AVE, PHILADELPHIA, PA",PA7856,0.709442689,https://web.archive.org/web/*/http://www.northwoodcs.org/,1,2013,4.20E+11,42,4200139,894,126510019,7856,NORTHWOOD ACADEMY CS,NORTHWOOD ACADEMY CS,2152895606,4621 CASTOR AVE,PHILADELPHIA,PA,19124,0,4621 CASTOR AVE,PHILADELPHIA,PA,19124,0,1,1,0,11,40.0204,-75.0945,42101,PHILADELPHIA COUNTY,4213,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,49,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,1,1,2,1,2,413,62,475,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,88,1,0,0,0,6,15,28,29,0,2,0,0,2,5,92,0,0,1,1,4,4,36,46,0,0,0,0,0,0,89,0,0,3,0,10,12,26,29,3,6,0,0,0,0,97,0,0,3,2,15,16,19,34,4,0,0,0,3,1,85,1,0,2,1,8,7,37,24,1,3,0,0,1,0,86,0,0,0,0,9,15,26,30,1,3,0,0,1,1,82,0,0,0,2,11,10,21,31,3,3,0,0,0,1,80,0,0,0,1,5,14,25,31,2,1,0,0,1,0,80,0,0,1,0,13,10,19,29,5,1,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,779,2,2,0,17,10,7,184,81,103,520,237,283,38,19,19,0,0,0,18,9,9,779,VIRTUALNO,NSLPNO,126515001,M
NORTH LAKES ACADEMY,"NORTH LAKES ACADEMY 255B NW 7TH AVE, FOREST LAKE, MN",http://www.northlakesacademy.org/,97,"255B NW 7TH AVE, FOREST LAKE, MN",MN74053010,0.29859385,https://web.archive.org/web/*/http://www.northlakesacademy.org/,2,2013,2.70E+11,27,2700177,3045,74053,74053010,NORTH LAKES ACADEMY,NORTH LAKES ACADEMY,6519822773,255B NW 7TH AVE,FOREST LAKE,MN,55025,1157,255B NW 7TH AVE,FOREST LAKE,MN,55025,1157,1,1,0,41,45.2866,-92.9864,27163,WASHINGTON COUNTY,2706,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,13.96,5,8,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,6,2,N,2,1,2,27,12,39,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,30,0,0,0,1,1,1,0,0,6,21,0,0,0,0,45,0,0,0,0,0,1,1,0,20,22,0,0,0,1,51,0,0,0,0,0,1,0,0,19,31,0,0,0,0,48,1,0,0,0,0,1,0,0,23,22,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,174,1,1,0,1,0,1,5,1,4,1,1,0,164,68,96,0,0,0,2,1,1,174,VIRTUALNO,NSLPWOPRO,8.48E+11,M
OAKLAND UNIFIED,"NORTH OAKLAND COMMUNITY CHARTER 1000 42ND ST, OAKLAND, CA",http://www.noccs.org/,98,"1000 42ND ST, OAKLAND, CA",CA6117972,0.048175929,https://web.archive.org/web/*/http://www.noccs.org/,1,2013,62805008442,6,628050,8442,161259,6117972,OAKLAND UNIFIED,NORTH OAKLAND COMMUNITY CHARTER,5106550540,1000 42ND ST.,OAKLAND,CA,94608,3621,1000 42ND ST,OAKLAND,CA,94608,3621,1,1,0,11,37.8332,-122.2766,6001,ALAMEDA COUNTY,613,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,10.55,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,M,36,11,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,0,0,1,0,2,1,4,1,3,3,0,0,2,5,22,0,0,0,0,0,3,1,0,5,9,0,0,2,2,23,0,0,0,0,2,3,1,1,5,5,0,0,3,3,23,0,0,0,0,1,2,0,0,1,13,0,0,2,4,27,0,0,0,0,1,1,2,3,10,3,0,0,4,3,27,0,0,0,0,1,3,3,3,6,5,0,0,2,4,27,0,0,0,1,7,1,3,3,7,2,0,0,3,0,28,0,0,0,0,2,3,2,4,5,6,0,0,1,5,24,0,0,1,0,4,3,2,5,3,2,0,0,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,223,0,0,0,3,2,1,40,20,20,38,18,20,93,45,48,0,0,0,49,21,28,223,N,NSLPNO,628050,M
NOBLE ACADEMY,"NOBLE ACADEMY 4021 THOMAS AVE NORTH, MINNEAPOLIS, MN",http://www.nobleacademy.us/,99,"4021 THOMAS AVE NORTH, MINNEAPOLIS, MN",MN74171010,0.178965535,https://web.archive.org/web/*/http://www.nobleacademy.us/,1,2013,2.70E+11,27,2700295,3727,74171,74171010,NOBLE ACADEMY,NOBLE ACADEMY,6125224976,4021 THOMAS AVE N,MINNEAPOLIS,MN,55412,8888,4021 THOMAS AVE NORTH,MINNEAPOLIS,MN,55412,8888,1,1,0,11,45.0282,-93.3142,27053,HENNEPIN COUNTY,2705,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,26.63,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,1,1,2,1,2,312,58,370,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,69,0,0,35,30,0,0,4,0,0,0,0,0,0,0,72,0,0,31,27,0,0,5,9,0,0,0,0,0,0,52,0,0,19,27,0,0,3,3,0,0,0,0,0,0,57,0,0,25,25,0,0,1,5,0,1,0,0,0,0,57,0,0,23,28,0,0,5,1,0,0,0,0,0,0,50,0,0,26,19,0,0,0,5,0,0,0,0,0,0,48,0,0,24,16,1,0,2,5,0,0,0,0,0,0,43,0,0,18,18,0,0,3,3,1,0,0,0,0,0,28,0,0,18,6,0,0,1,2,0,1,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,476,0,0,0,415,219,196,1,1,0,57,24,33,3,1,2,0,0,0,0,0,0,476,VIRTUALNO,NSLPWOPRO,8.48E+11,M
NEW WORLD PREPARATORY CHARTER SCHOOL,"NEW WORLD PREPARATORY CHARTER SCHOOL 26 SHAPE AVE, STATEN ISLAND, NY",http://www.newworldprep.org/,100,"26 SHAPE AVE, STATEN ISLAND, NY",NY353100860984,0.327051944,https://web.archive.org/web/*/http://www.newworldprep.org/,2,2013,3.60E+11,36,3601019,6215,3.53E+11,3.53E+11,NEW WORLD PREPARATORY CHARTER SCHOOL,NEW WORLD PREPARATORY CHARTER SCHOOL,7187058972,26 SHAPE AVE,STATEN ISLAND,NY,10302,0,26 SHAPE AVE,STATEN ISLAND,NY,10302,0,1,1,0,11,40.6396,-74.1368,36085,RICHMOND COUNTY,3611,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,42,6,8,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,5,1,1,2,1,2,261,26,287,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,130,0,0,3,1,35,29,19,38,3,2,0,0,0,0,103,0,1,1,0,21,26,28,25,0,1,0,0,0,0,89,0,1,1,0,12,22,28,22,1,1,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,322,2,0,2,6,5,1,145,68,77,160,75,85,8,4,4,0,0,0,1,0,1,322,VIRTUALNO,NSLPWOPRO,2,M
LOS ANGELES UNIFIED,"NEW HEIGHTS CHARTER 2202 WEST MLK JR BLVD, LOS ANGELES, CA",http://www.newheightscharter.org/,101,"2202 WEST MLK JR BLVD, LOS ANGELES, CA",CA111211,0.561218609,https://web.archive.org/web/*/http://www.newheightscharter.org/,1,2013,62271011630,6,622710,11630,1964733,111211,LOS ANGELES UNIFIED,NEW HEIGHTS CHARTER,3235080155,2202 W. MLK JR BLVD.,LOS ANGELES,CA,90008,4028,2202 WEST MLK JR BLVD,LOS ANGELES,CA,90008,4028,1,1,0,11,34.0105,-118.3177,6037,LOS ANGELES COUNTY,637,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,18,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,5,1,1,2,1,M,362,25,387,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,0,0,0,0,26,21,10,4,0,0,0,0,3,3,45,0,0,0,0,12,12,13,7,0,0,0,0,0,1,45,0,0,0,0,20,15,5,5,0,0,0,0,0,0,46,0,0,0,0,19,17,4,4,0,0,0,0,0,2,42,0,0,0,0,11,16,6,9,0,0,0,0,0,0,39,0,0,0,0,19,11,4,5,0,0,0,0,0,0,50,0,0,1,0,16,18,5,6,0,0,0,0,3,1,50,0,0,0,0,23,14,5,7,0,0,0,0,0,1,25,0,0,0,0,4,10,7,4,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,409,0,0,0,1,1,0,284,150,134,110,59,51,0,0,0,0,0,0,14,6,8,409,N,NSLPNO,622710,M
NEWCASTLE ELEMENTARY,"NEWCASTLE CHARTER 8951 VALLEY VIEW DR, NEWCASTLE, CA",http://www.newcastle.k12.ca.us/,102,"8951 VALLEY VIEW DR, NEWCASTLE, CA",CA109827,0.893681316,https://web.archive.org/web/*/http://www.newcastle.k12.ca.us/,1,2013,62712011001,6,627120,11001,3166852,109827,NEWCASTLE ELEMENTARY,NEWCASTLE CHARTER,9166633307,8951 VALLEY VIEW DR.,NEWCASTLE,CA,95658,0,8951 VALLEY VIEW DR,NEWCASTLE,CA,95658,0,1,1,0,41,38.872,-121.1363,6061,PLACER COUNTY,604,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,10.05,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,M,27,16,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,0,0,0,0,0,3,0,0,22,18,0,0,3,1,24,0,0,0,0,1,3,1,0,6,11,0,0,1,1,22,0,0,0,0,0,0,0,0,13,9,0,0,0,0,18,0,0,0,1,0,0,0,0,8,6,0,0,2,1,19,0,0,0,0,0,0,0,0,13,5,0,0,1,0,38,0,1,0,0,0,0,0,0,18,15,0,0,1,3,23,0,0,0,0,1,1,0,0,9,9,0,0,2,1,33,0,0,0,0,0,1,0,0,15,16,0,0,0,1,24,0,0,0,0,1,1,0,0,6,15,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,248,1,0,1,1,0,1,12,3,9,1,1,0,214,110,104,0,0,0,19,11,8,248,N,NSLPNO,627120,M
NEVADA COUNTY OFFICE OF EDUCATION,"NEVADA CITY SCHOOL OF THE ARTS 13032 BITNEY SPRINGS RD, NEVADA CITY, CA",http://www.ncsota.org/,103,"13032 BITNEY SPRINGS RD, NEVADA CITY, CA",CA114330,0.803491864,https://web.archive.org/web/*/http://www.ncsota.org/,1,2013,69102311940,6,691023,11940,2910298,114330,NEVADA COUNTY OFFICE OF EDUCATION,NEVADA CITY SCHOOL OF THE ARTS,5302737736,13032 BITNEY SPRINGS RD.,NEVADA CITY,CA,95959,0,13032 BITNEY SPRINGS RD,NEVADA CITY,CA,95959,0,1,1,0,41,39.2538,-121.1303,6057,NEVADA COUNTY,601,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,14.78,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,6,2,N,2,1,M,105,64,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,0,0,0,0,3,3,0,0,18,17,0,0,0,0,30,1,0,0,0,1,1,0,0,12,15,0,0,0,0,30,0,2,0,0,4,0,1,0,8,15,0,0,0,0,30,0,0,0,0,1,1,0,0,12,16,0,0,0,0,40,0,2,0,0,2,3,0,0,20,13,0,0,0,0,41,2,1,0,0,4,2,0,0,14,17,0,0,0,1,49,0,0,0,0,5,6,1,1,10,26,0,0,0,0,51,1,0,0,0,5,2,0,0,23,20,0,0,0,0,33,0,0,0,0,0,3,1,1,16,12,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,345,9,4,5,0,0,0,46,25,21,5,3,2,284,133,151,0,0,0,1,0,1,345,N,NSLPNO,691023,M
